cell_id,lat,lon,area_m2
0,28.543814136986622,77.17978783033374,703.9137605875642
1,28.54411619262117,77.17973561650234,2088.515130357019
2,28.54455320762904,77.17983309575703,1196.9337689311942
3,28.543695202109966,77.18021943818269,2204.233812964092
4,28.544124208029384,77.18020774708202,2500.0
5,28.544575208908743,77.18021703842868,2500.0
6,28.545025202052482,77.18022751776,2487.7466039890787
7,28.545458581453264,77.18029260772757,1903.358440034208
8,28.54589238552531,77.18038997861753,1006.5707755828043
9,28.543292643472395,77.1807489236413,1468.105473718606
10,28.543665001979573,77.18070920309057,2500.0
11,28.544116002738537,77.18071849639603,2500.0
12,28.54456700346476,77.18072778991512,2500.0
13,28.545018004158234,77.18073708364788,2500.0
14,28.545469004818955,77.18074637759432,2500.0
15,28.54592000544694,77.18075567175441,2500.0
16,28.54634535123017,77.18075451760787,2181.67244578867
17,28.54320698014375,77.1812120026574,2485.8843523562346
18,28.54365679492298,77.18121995001852,2500.0
19,28.544107795528774,77.18122924549637,2500.0
20,28.544558796101814,77.18123854118791,2500.0
21,28.5450097966421,77.18124783709315,2500.0
22,28.545460797149644,77.18125713321213,2500.0
23,28.545911797624438,77.18126642954482,2500.0
24,28.54624979713038,77.1812293775353,1138.0123700131662
25,28.543674185471712,77.18162640476461,1426.0788778890856
26,28.544111274184786,77.18172048628517,2288.0628234509322
27,28.544550586819895,77.18174929224698,2500.0
28,28.545001587206965,77.18175859032472,2500.0
29,28.545452587561293,77.18176788861622,2500.0
30,28.545903587882876,77.1817771871215,2500.0
31,28.546318338443193,77.18186437770115,1593.4903066820877
32,28.544594101518612,77.18209447299202,754.0290412658998
33,28.544993870894185,77.18226887110066,2494.532691708767
34,28.545444376053915,77.18227864380655,2500.0
35,28.54589537622224,77.1822879444844,2500.0
36,28.546346376357807,77.18229724537608,2500.0
37,28.546797282549853,77.18230665090172,2498.946520176898
38,28.547227493141648,77.18236825367129,1937.0722276653396
39,28.547654012340182,77.18247721491203,904.5029478962533
40,28.545001237101193,77.18277576703909,2320.3040408785455
41,28.545436162627507,77.18278939878307,2500.0
42,28.545887162642536,77.1827987016335,2500.0
43,28.546338162624817,77.1828080046978,2500.0
44,28.54678916257434,77.18281730797598,2500.0
45,28.547240162491104,77.18282661146803,2500.0
46,28.547691162375123,77.18283591517395,2500.0
47,28.548130348470256,77.182863477617,2298.9538411887847
48,28.548562389494748,77.18296571239883,1339.3643883551704
49,28.54501591549134,77.18328641914081,2066.3123464328237
50,28.545427947282075,77.1833001535457,2500.0
51,28.545878947143787,77.18330945856873,2500.0
52,28.546329946972726,77.18331876380564,2500.0
53,28.546780946768923,77.18332806925649,2500.0
54,28.547231946532367,77.18333737492128,2500.0
55,28.547682946263045,77.18334668079997,2500.0
56,28.54813394596097,77.18335598689262,2500.0
57,28.548584945626143,77.18336529319922,2500.0
58,28.549034240227996,77.18337663238415,2478.749191660283
59,28.549463961469158,77.18345248069024,1774.2258288169978
60,28.54988292602968,77.18355951942989,741.6565490450012
61,28.54500655517437,77.18381555937968,2057.3877813564513
62,28.545419730017617,77.18381090809444,2500.0
63,28.545870729725966,77.18382021529003,2500.0
64,28.546321729401548,77.18382952269957,2500.0
65,28.546772729044378,77.1838388303231,2500.0
66,28.54722372865445,77.1838481381606,2500.0
67,28.547674728231765,77.18385744621207,2500.0
68,28.548125727776323,77.18386675447753,2500.0
69,28.548576727288125,77.18387606295698,2500.0
70,28.549027726767164,77.18388537165042,2500.0
71,28.54947872621345,77.18389468055787,2500.0
72,28.549929725626974,77.18390398967932,2500.0
73,28.55032551826039,77.18392187959144,1797.034489872109
74,28.544960511246444,77.18431235327509,2500.0
75,28.545411510834143,77.18432166242921,2500.0
76,28.545862510389096,77.18433097179735,2500.0
77,28.546313509911275,77.18434028137952,2500.0
